,Nome,Categoria,Preço,Unidades Vendidas,Total,Filial,Forma de Pagamento,Método de Entrega,Data
0,Alho,Alimentos,7.77,14,108.78,SP,Boleto,PAC,2016-11-05
0,Tônico facial,Cosméticos,22.31,4,89.24,ES,Pix,Sedex,2012-07-28
0,Chocolate,Alimentos,10.44,21,219.24,PR,Débito,PAC,2021-01-01
0,Esmalte,Cosméticos,32.29,39,1259.31,SP,Boleto,PAC,2012-10-28
0,Iluminador,Cosméticos,25.45,27,687.15,ES,Débito,Sedex,2021-07-10
0,Bermuda,Roupas,69.18,40,2767.2,MS,Débito,Sedex,2018-05-06
0,Esquadro,Ferramentas Manuais,44.22,18,795.96,SP,Boleto,PAC,2016-10-16
0,Maçã,Alimentos,8.28,3,24.84,PR,Crédito,PAC,2011-06-11
0,Batedeira,Eletrodomésticos,2802.16,19,53241.04,SP,Pix,Sedex,2020-02-17
0,Batedeira,Eletrodomésticos,1204.27,34,40945.18,MG,Crédito,Sedex,2018-10-13
0,Lápis de olho,Cosméticos,47.56,24,1141.44,PR,Crédito,Sedex,2016-06-05
0,Maçã,Alimentos,6.56,36,236.16,MS,Crédito,Retirada,2013-12-30
0,Luvas,Roupas,239.77,29,6953.33,MS,Pix,Sedex,2012-08-08
0,Perfume,Cosméticos,72.91,40,2916.4,MG,Pix,PAC,2020-11-04
0,Tônico facial,Cosméticos,71.53,29,2074.37,SP,Boleto,PAC,2019-08-04
0,Enxada,Ferramentas Manuais,35.57,37,1316.09,PR,Pix,Sedex,2021-10-25
0,Fogão,Eletrodomésticos,770.55,49,37756.95,RJ,Crédito,Sedex,2016-03-02
0,Corretivo,Cosméticos,22.59,10,225.9,ES,Débito,Retirada,2018-09-28
0,Jeans,Roupas,269.02,25,6725.5,ES,Boleto,PAC,2016-06-06
0,Iluminador,Cosméticos,49.91,28,1397.48,ES,Débito,Retirada,2020-12-31
0,Batedeira,Eletrodomésticos,2913.22,44,128181.68,RJ,Pix,Sedex,2013-10-21
0,Blush,Cosméticos,35.61,14,498.54,SP,Boleto,Sedex,2019-03-12
0,Geleia,Alimentos,4.22,46,194.12,ES,Débito,Retirada,2021-05-11
0,Martelo,Ferramentas Manuais,30.97,14,433.58,RJ,Débito,Sedex,2016-01-24
0,Formão,Ferramentas Manuais,26.77,49,1311.73,MG,Débito,Sedex,2021-11-30
0,Laranja,Alimentos,4.53,46,208.38,RJ,Crédito,Sedex,2011-11-14
0,Esmalte,Cosméticos,51.02,3,153.06,PR,Boleto,Sedex,2018-01-24
0,Batedeira,Eletrodomésticos,1361.41,20,27228.2,MS,Boleto,PAC,2018-03-03
0,Shampoo,Cosméticos,35.88,14,502.32,SP,Débito,Sedex,2019-04-29
0,Martelo,Ferramentas Manuais,36.39,20,727.8,ES,Débito,Sedex,2011-08-24
0,Esmalte,Cosméticos,54.93,26,1428.18,SP,Débito,Sedex,2014-03-17
0,Iluminador,Cosméticos,70.32,14,984.48,RJ,Crédito,Retirada,2022-04-14
0,Geleia,Alimentos,7.66,44,337.04,MS,Boleto,Retirada,2013-08-05
0,Geleia,Alimentos,8.35,19,158.65,MS,Boleto,PAC,2018-09-21
0,Aspirador de pó,Eletrodomésticos,2204.94,24,52918.56,PR,Débito,Retirada,2018-07-18
0,Jeans,Roupas,278.59,10,2785.9,RJ,Débito,Sedex,2010-01-04
0,Vestido,Roupas,259.07,39,10103.73,ES,Débito,Retirada,2013-06-17
0,Iluminador,Cosméticos,38.17,48,1832.16,SP,Boleto,Retirada,2015-12-16
0,Boné,Roupas,254.44,16,4071.04,RJ,Débito,Retirada,2010-08-03
0,Vestido,Roupas,195.96,38,7446.48,SP,Boleto,PAC,2017-06-10
0,Geladeira,Eletrodomésticos,2469.08,10,24690.8,ES,Débito,Sedex,2012-11-17
0,Uva,Alimentos,11.39,31,353.09,SP,Boleto,Retirada,2021-04-17
0,Blush,Cosméticos,35.1,35,1228.5,PR,Boleto,Sedex,2015-06-06
0,Chave estrela,Ferramentas Manuais,19.16,48,919.68,ES,Crédito,PAC,2020-08-06
0,Micro-ondas,Eletrodomésticos,2713.58,9,24422.22,ES,Pix,Sedex,2014-04-02
0,Iluminador,Cosméticos,35.73,17,607.41,MG,Pix,Sedex,2014-01-21
0,Geleia,Alimentos,7.64,25,191.0,RJ,Pix,Retirada,2010-07-31
0,Boné,Roupas,272.21,7,1905.47,ES,Boleto,Sedex,2014-05-22
0,Forno elétrico,Eletrodomésticos,1454.34,14,20360.76,MG,Pix,PAC,2022-02-02
0,Alho,Alimentos,5.72,32,183.04,ES,Crédito,PAC,2019-08-02
0,Gorro,Roupas,117.06,42,4916.52,SP,Pix,PAC,2021-07-26
0,Camiseta,Roupas,297.12,26,7725.12,PR,Pix,Retirada,2019-05-15
0,Vestido,Roupas,284.59,24,6830.16,MG,Boleto,PAC,2014-11-25
0,Meias,Roupas,261.75,19,4973.25,RJ,Crédito,Retirada,2017-09-30
0,Chave estrela,Ferramentas Manuais,33.86,30,1015.8,MG,Débito,Retirada,2021-06-02
0,Lápis de olho,Cosméticos,52.28,16,836.48,SP,Pix,Sedex,2014-09-10
0,Tônico facial,Cosméticos,50.1,14,701.4,MG,Pix,Sedex,2015-09-19
0,Meias,Roupas,257.24,7,1800.68,PR,Pix,Retirada,2010-09-12
0,Desodorante,Cosméticos,23.88,46,1098.48,PR,Crédito,Sedex,2017-05-05
0,Torradeira,Eletrodomésticos,2324.48,32,74383.36,MS,Boleto,PAC,2012-02-03
0,Grampo,Ferramentas Manuais,40.99,26,1065.74,RJ,Crédito,PAC,2019-09-09
0,Camiseta,Roupas,285.67,30,8570.1,MS,Crédito,Retirada,2018-06-28
0,Maçã,Alimentos,8.33,30,249.9,MS,Boleto,PAC,2016-11-28
0,Máquina de lavar roupa,Eletrodomésticos,822.79,16,13164.64,MG,Boleto,PAC,2021-01-19
0,Cebola,Alimentos,7.26,31,225.06,MS,Débito,Retirada,2015-11-22
0,Geleia,Alimentos,4.78,4,19.12,RJ,Pix,Sedex,2022-01-19
0,Ovo,Alimentos,5.38,22,118.36,RJ,Débito,Retirada,2013-01-14
0,Gorro,Roupas,88.76,10,887.6,RJ,Boleto,PAC,2014-08-13
0,Shampoo,Cosméticos,33.36,23,767.28,ES,Pix,Retirada,2019-03-27
0,Fogão,Eletrodomésticos,1504.38,39,58670.82,RJ,Boleto,Sedex,2017-09-07
0,Ovo,Alimentos,8.47,16,135.52,ES,Crédito,Sedex,2011-11-23
0,Blush,Cosméticos,54.86,5,274.3,SP,Boleto,Sedex,2012-07-08
0,Micro-ondas,Eletrodomésticos,2825.07,15,42376.05,MS,Débito,PAC,2016-07-16
0,Geladeira,Eletrodomésticos,2402.97,42,100924.74,MS,Boleto,Retirada,2012-10-09
0,Esquadro,Ferramentas Manuais,46.93,5,234.65,ES,Pix,PAC,2017-06-02
0,Geladeira,Eletrodomésticos,1114.88,15,16723.2,MS,Boleto,Retirada,2016-10-13
0,Jeans,Roupas,225.91,6,1355.46,ES,Pix,Retirada,2010-08-02
0,Desodorante,Cosméticos,37.35,43,1606.05,MG,Crédito,Sedex,2013-11-08
0,Camiseta,Roupas,75.16,26,1954.16,SP,Boleto,Retirada,2014-06-26
0,Vestido,Roupas,244.42,45,10998.9,RJ,Boleto,PAC,2017-04-27
0,Lápis de olho,Cosméticos,35.31,1,35.31,MS,Crédito,PAC,2011-07-06
0,Geleia,Alimentos,9.41,28,263.48,MS,Débito,PAC,2014-03-09
0,Laranja,Alimentos,7.68,48,368.64,RJ,Pix,Sedex,2011-02-15
0,Tomate,Alimentos,11.98,50,599.0,SP,Crédito,Retirada,2019-05-26
0,Batedeira,Eletrodomésticos,1350.95,34,45932.3,SP,Débito,PAC,2010-02-23
0,Esquadro,Ferramentas Manuais,28.25,30,847.5,PR,Crédito,Sedex,2014-10-25
0,Aspirador de pó,Eletrodomésticos,593.08,44,26095.52,RJ,Débito,Sedex,2015-04-10
0,Jeans,Roupas,173.4,36,6242.4,ES,Pix,Retirada,2010-06-17
0,Maçã,Alimentos,7.38,15,110.7,SP,Débito,Sedex,2018-04-23
0,Chave estrela,Ferramentas Manuais,16.56,3,49.68,SP,Pix,Sedex,2022-01-01
0,Esquadro,Ferramentas Manuais,15.63,41,640.83,MS,Boleto,PAC,2013-08-10
0,Iluminador,Cosméticos,40.53,32,1296.96,SP,Débito,Sedex,2021-08-13
0,Corretivo,Cosméticos,54.63,29,1584.27,SP,Crédito,Sedex,2021-06-23
0,Chapéu,Roupas,67.41,22,1483.02,PR,Crédito,Retirada,2016-04-22
0,Geleia,Alimentos,11.97,48,574.56,MS,Crédito,Retirada,2020-10-05
0,Desodorante,Cosméticos,65.84,34,2238.56,MG,Pix,Sedex,2021-06-26
0,Chave estrela,Ferramentas Manuais,17.42,29,505.18,MG,Débito,Sedex,2021-07-03
0,Geladeira,Eletrodomésticos,1342.73,2,2685.46,RJ,Boleto,Sedex,2019-11-11
0,Uva,Alimentos,3.94,4,15.76,MG,Crédito,Sedex,2010-07-11
0,Fogão,Eletrodomésticos,1139.12,11,12530.32,MG,Crédito,Sedex,2017-07-04
0,Martelo,Ferramentas Manuais,44.71,35,1564.85,RJ,Débito,Sedex,2014-09-18
0,Jeans,Roupas,224.88,21,4722.48,MG,Boleto,PAC,2012-04-22
0,Vestido,Roupas,72.0,22,1584.0,RJ,Pix,Sedex,2019-05-23
0,Máquina de lavar roupa,Eletrodomésticos,2954.18,49,144754.82,PR,Boleto,Retirada,2019-08-26
0,Meias,Roupas,100.39,42,4216.38,RJ,Boleto,Sedex,2022-02-18
0,Ovo,Alimentos,3.39,23,77.97,ES,Crédito,Sedex,2022-11-04
0,Esquadro,Ferramentas Manuais,41.93,24,1006.32,MG,Débito,PAC,2012-06-27
0,Sutiã,Roupas,58.49,33,1930.17,PR,Boleto,Retirada,2022-09-11
0,Desodorante,Cosméticos,55.41,24,1329.84,PR,Pix,Retirada,2016-05-17
0,Martelo,Ferramentas Manuais,17.71,1,17.71,ES,Boleto,PAC,2016-01-26
0,Vestido,Roupas,154.46,20,3089.2,SP,Boleto,PAC,2014-08-16
0,Aspirador de pó,Eletrodomésticos,1907.91,8,15263.28,ES,Crédito,PAC,2014-05-21
0,Grampo,Ferramentas Manuais,22.17,40,886.8,PR,Pix,PAC,2020-07-09
0,Cebola,Alimentos,11.02,5,55.1,SP,Crédito,Retirada,2011-03-24
0,Boné,Roupas,257.57,3,772.71,PR,Boleto,PAC,2010-07-08
0,Pregos,Ferramentas Manuais,43.02,33,1419.66,SP,Pix,Retirada,2021-12-29
0,Martelo,Ferramentas Manuais,37.76,49,1850.24,SP,Crédito,Sedex,2019-03-29
0,Torradeira,Eletrodomésticos,676.86,2,1353.72,SP,Débito,PAC,2015-09-21
0,Chapéu,Roupas,181.82,28,5090.96,RJ,Pix,Sedex,2022-02-21
0,Ovo,Alimentos,2.56,15,38.4,MG,Boleto,PAC,2017-11-13
0,Base,Cosméticos,47.31,33,1561.23,RJ,Débito,PAC,2012-08-03
0,Esquadro,Ferramentas Manuais,44.93,28,1258.04,ES,Boleto,Sedex,2021-08-31
0,Corretivo,Cosméticos,60.88,43,2617.84,MG,Pix,PAC,2019-03-19
0,Esmalte,Cosméticos,31.47,17,534.99,MG,Pix,Retirada,2013-09-16
0,Tomate,Alimentos,10.14,29,294.06,ES,Boleto,Sedex,2018-01-02
0,Lápis de olho,Cosméticos,26.35,10,263.5,MG,Boleto,Sedex,2014-12-15
0,Sutiã,Roupas,285.97,10,2859.7,MG,Crédito,PAC,2015-08-03
0,Esmalte,Cosméticos,23.82,21,500.22,PR,Boleto,PAC,2016-11-26
0,Luvas,Roupas,160.32,11,1763.52,MS,Boleto,Retirada,2012-04-30
0,Chocolate,Alimentos,10.89,28,304.92,MS,Boleto,Sedex,2014-10-14
0,Serra,Ferramentas Manuais,22.13,3,66.39,MS,Débito,Retirada,2017-03-20
0,Base,Cosméticos,27.41,38,1041.58,ES,Pix,Retirada,2022-01-15
0,Esmalte,Cosméticos,73.19,6,439.14,ES,Pix,Retirada,2014-09-05
0,Tesoura,Ferramentas Manuais,26.86,12,322.32,SP,Débito,PAC,2019-01-15
0,Cebola,Alimentos,11.09,48,532.32,ES,Crédito,PAC,2014-03-24
0,Batedeira,Eletrodomésticos,1310.8,18,23594.4,ES,Pix,Retirada,2011-02-28
0,Jeans,Roupas,124.45,10,1244.5,MG,Débito,Sedex,2019-01-04
0,Geladeira,Eletrodomésticos,1717.39,43,73847.77,MG,Pix,Retirada,2013-05-19
0,Camiseta,Roupas,57.66,16,922.56,MS,Pix,Sedex,2016-02-25
0,Vestido,Roupas,100.03,50,5001.5,RJ,Débito,PAC,2022-04-05
0,Martelo,Ferramentas Manuais,35.03,48,1681.44,RJ,Boleto,Sedex,2016-05-04
0,Enxada,Ferramentas Manuais,22.63,36,814.68,MG,Débito,Sedex,2017-08-07
0,Perfume,Cosméticos,60.04,19,1140.76,SP,Débito,PAC,2010-01-03
0,Chapéu,Roupas,207.16,25,5179.0,PR,Boleto,Retirada,2010-08-29
0,Máquina de lavar roupa,Eletrodomésticos,2489.46,39,97088.94,MG,Débito,PAC,2011-09-06
0,Banana,Alimentos,9.43,33,311.19,RJ,Boleto,Sedex,2019-03-01
0,Tomate,Alimentos,2.38,39,92.82,SP,Débito,PAC,2016-01-20
0,Chocolate,Alimentos,2.15,2,4.3,ES,Débito,Retirada,2022-01-08
0,Tesoura,Ferramentas Manuais,24.03,25,600.75,PR,Boleto,Retirada,2010-09-29
0,Boné,Roupas,171.81,31,5326.11,SP,Crédito,Sedex,2016-10-23
0,Batedeira,Eletrodomésticos,2156.73,37,79799.01,PR,Pix,PAC,2013-10-26
0,Desodorante,Cosméticos,35.37,47,1662.39,PR,Pix,PAC,2018-06-14
0,Cebola,Alimentos,7.38,42,309.96,ES,Boleto,PAC,2016-08-03
0,Maçã,Alimentos,7.58,30,227.4,RJ,Boleto,Retirada,2011-02-04
0,Corretivo,Cosméticos,39.62,6,237.72,RJ,Crédito,Retirada,2017-12-02
0,Laranja,Alimentos,8.65,21,181.65,MG,Débito,PAC,2015-11-04
0,Shampoo,Cosméticos,52.43,11,576.73,MS,Débito,Retirada,2019-12-30
0,Luvas,Roupas,271.32,19,5155.08,MG,Crédito,Sedex,2020-08-19
0,Chapéu,Roupas,224.56,16,3592.96,SP,Crédito,Retirada,2012-02-02
0,Chave estrela,Ferramentas Manuais,38.54,21,809.34,ES,Pix,Retirada,2010-01-17
0,Micro-ondas,Eletrodomésticos,1583.42,10,15834.2,ES,Boleto,Sedex,2010-09-22
0,Jeans,Roupas,247.59,9,2228.31,SP,Boleto,PAC,2010-05-29
0,Chapéu,Roupas,94.22,16,1507.52,MG,Débito,PAC,2012-06-12
0,Fogão,Eletrodomésticos,1603.12,11,17634.32,PR,Pix,Retirada,2015-08-01
0,Desodorante,Cosméticos,26.45,45,1190.25,SP,Débito,Sedex,2016-02-17
0,Ar-condicionado,Eletrodomésticos,1785.67,38,67855.46,MG,Crédito,PAC,2018-07-09
0,Nível,Ferramentas Manuais,27.25,40,1090.0,PR,Crédito,Sedex,2021-07-17
0,Desodorante,Cosméticos,26.22,48,1258.56,MG,Crédito,PAC,2015-02-16
0,Geleia,Alimentos,11.79,30,353.7,ES,Débito,Sedex,2014-03-13
0,Perfume,Cosméticos,55.88,31,1732.28,PR,Pix,Retirada,2015-12-25
0,Tônico facial,Cosméticos,68.27,42,2867.34,MS,Crédito,Retirada,2017-03-17
0,Nível,Ferramentas Manuais,40.65,18,731.7,RJ,Crédito,Sedex,2021-03-03
0,Vestido,Roupas,282.68,39,11024.52,PR,Boleto,PAC,2017-08-16
0,Geladeira,Eletrodomésticos,752.59,15,11288.85,MG,Pix,PAC,2014-04-17
0,Vestido,Roupas,78.36,40,3134.4,PR,Pix,PAC,2017-01-19
0,Batedeira,Eletrodomésticos,929.06,43,39949.58,RJ,Crédito,Sedex,2018-02-13
0,Forno elétrico,Eletrodomésticos,1464.4,28,41003.2,SP,Boleto,Retirada,2018-08-15
0,Uva,Alimentos,3.08,28,86.24,MG,Débito,PAC,2010-12-08
0,Batedeira,Eletrodomésticos,1008.76,9,9078.84,ES,Boleto,Retirada,2022-10-20
0,Camiseta,Roupas,201.04,8,1608.32,RJ,Pix,Retirada,2013-07-09
0,Laranja,Alimentos,7.35,28,205.8,MS,Pix,Sedex,2022-08-29
0,Aspirador de pó,Eletrodomésticos,2397.91,6,14387.46,ES,Pix,Sedex,2016-12-02
0,Torradeira,Eletrodomésticos,992.66,32,31765.12,SP,Crédito,Retirada,2020-01-13
0,Tesoura,Ferramentas Manuais,42.14,43,1812.02,SP,Crédito,Retirada,2013-03-10
0,Torradeira,Eletrodomésticos,2283.04,13,29679.52,PR,Pix,Sedex,2021-04-20
0,Fogão,Eletrodomésticos,1588.09,34,53995.06,MG,Boleto,Retirada,2019-05-27
0,Desodorante,Cosméticos,29.44,21,618.24,ES,Pix,PAC,2019-12-04
0,Luvas,Roupas,149.17,18,2685.06,PR,Débito,PAC,2012-11-15
0,Secadora de roupas,Eletrodomésticos,2190.01,26,56940.26,SP,Boleto,PAC,2011-03-21
0,Tônico facial,Cosméticos,24.93,44,1096.92,MS,Débito,PAC,2011-10-20
0,Máquina de lavar roupa,Eletrodomésticos,949.02,11,10439.22,SP,Crédito,Sedex,2022-04-16
0,Formão,Ferramentas Manuais,37.32,26,970.32,PR,Crédito,Sedex,2016-09-04
0,Secadora de roupas,Eletrodomésticos,2439.56,21,51230.76,ES,Crédito,Retirada,2010-12-28
0,Alho,Alimentos,3.79,49,185.71,MG,Boleto,Sedex,2021-09-25
0,Uva,Alimentos,1.26,29,36.54,MS,Débito,PAC,2020-01-03
0,Iluminador,Cosméticos,53.9,24,1293.6,SP,Crédito,PAC,2015-06-18
0,Lápis de olho,Cosméticos,68.72,21,1443.12,RJ,Boleto,PAC,2012-01-08
0,Camiseta,Roupas,128.58,49,6300.42,RJ,Débito,PAC,2019-10-11
0,Corretivo,Cosméticos,53.3,3,159.9,ES,Boleto,Sedex,2017-02-14
0,Batedeira,Eletrodomésticos,929.41,16,14870.56,RJ,Crédito,Retirada,2015-02-18
